Date,Open,High,Low,Close,Volume,Change
2000-02-24,5120,5240,5060,5070,521526,-0.013618677042801508
2000-02-25,5080,5150,4980,5120,557527,0.009861932938856066
2000-02-28,5000,5050,4800,4800,602864,-0.0625
2000-02-29,4900,5140,4840,5120,1036420,0.06666666666666665
2000-03-02,5880,5880,5520,5880,2355092,0.1484375
2000-03-03,6200,6250,5880,6000,2819891,0.020408163265306145
2000-03-06,6000,6050,5600,5640,783020,-0.06000000000000005
2000-03-07,5600,5640,5480,5620,601414,-0.0035460992907800915
2000-03-08,5520,6000,5500,5920,649288,0.053380782918149405
2000-03-09,5970,5980,5620,5620,1117890,-0.05067567567567566
2000-03-10,5790,5800,5520,5540,572199,-0.014234875444839812
2000-03-13,5480,5490,5160,5180,644358,-0.06498194945848379
2000-03-14,5170,5380,5160,5210,601241,0.005791505791505891
2000-03-15,5200,5400,5120,5400,922141,0.03646833013435691
2000-03-16,5480,5520,5360,5400,575981,0.0
2000-03-17,5540,5560,5400,5480,481685,0.014814814814814836
2000-03-20,5600,5710,5530,5660,527321,0.03284671532846706
2000-03-21,5700,5940,5610,5880,898587,0.03886925795053009
2000-03-22,5960,6300,5880,6200,1739537,0.054421768707483054
2000-03-23,6480,6580,6200,6200,1299012,0.0
2000-03-24,6320,7120,6180,6800,1805280,0.09677419354838701
2000-03-27,6960,7040,6700,6800,1354691,0.0
2000-03-28,6899,7260,6820,7030,1488500,0.03382352941176481
2000-03-29,7030,7680,6979,7660,1561874,0.08961593172119486
2000-03-30,7520,7560,7050,7050,1492996,-0.07963446475195823
2000-03-31,6800,7070,6649,6700,1277121,-0.049645390070921946
2000-04-03,6920,7320,6860,7100,1136142,0.05970149253731338
2000-04-04,7000,7290,6659,6800,1166838,-0.04225352112676062
2000-04-06,6860,6960,6679,6680,944729,-0.01764705882352946
2000-04-07,6860,7260,6780,7200,847198,0.07784431137724557
2000-04-10,7499,7499,7200,7300,717709,0.01388888888888884
2000-04-11,7200,7200,6950,7100,581565,-0.0273972602739726
2000-04-12,6960,7030,6860,6910,705096,-0.026760563380281654
2000-04-14,6600,6680,6260,6260,1247397,-0.09406657018813314
2000-04-17,5420,5750,5340,5520,1561048,-0.11821086261980829
2000-04-18,6200,6240,5860,6040,1474625,0.09420289855072461
2000-04-19,6300,6460,5860,6000,1212342,-0.0066225165562914245
2000-04-20,5960,6160,5920,6020,746719,0.0033333333333334103
2000-04-21,6060,6180,5970,6050,528513,0.004983388704318914
2000-04-24,5970,6030,5760,5800,556613,-0.04132231404958675
2000-04-25,5620,5760,5520,5640,698014,-0.02758620689655178
2000-04-26,5820,5860,5600,5600,785860,-0.007092198581560294
2000-04-27,5520,5700,5400,5400,1082253,-0.0357142857142857
2000-04-28,5500,6100,5460,6000,1510624,0.11111111111111116
2000-05-02,6200,6530,6120,6280,1446713,0.046666666666666634
2000-05-03,6240,6260,6090,6180,531786,-0.015923566878980888
2000-05-04,6220,6360,6140,6180,522021,0.0
2000-05-08,6400,6700,6300,6560,1053944,0.06148867313915862
2000-05-09,6500,6540,6340,6370,1010990,-0.02896341463414631
2000-05-10,6320,6390,6270,6350,552476,-0.0031397174254317317
2000-05-12,6420,6440,6160,6160,943445,-0.0299212598425197
2000-05-15,6290,6530,6220,6440,942417,0.045454545454545414
2000-05-16,6510,6800,6510,6800,792495,0.05590062111801242
2000-05-17,7000,7340,6919,6920,1524758,0.01764705882352935
2000-05-18,6739,7000,6680,6800,731638,-0.017341040462427793
2000-05-19,6740,6900,6600,6900,829049,0.014705882352941124
2000-05-22,6720,6830,6620,6670,727774,-0.033333333333333326
2000-05-23,6500,6700,6350,6380,825886,-0.04347826086956519
2000-05-24,6160,6370,5920,6200,1443050,-0.028213166144200663
2000-05-25,6330,6380,5930,6000,1719303,-0.032258064516129004
2000-05-26,5900,5990,5600,5600,1342077,-0.06666666666666665
2000-05-29,5260,5680,5240,5460,1342608,-0.025000000000000022
2000-05-30,5600,5800,5520,5800,1299038,0.06227106227106227
2000-05-31,6000,6290,5960,6160,1678705,0.06206896551724128
2000-06-01,6200,6410,6120,6300,1004689,0.022727272727272707
2000-06-02,6690,6899,6510,6620,1687778,0.050793650793650835
2000-06-05,6920,6980,6680,6740,960247,0.01812688821752273
2000-06-07,6600,6979,6510,6800,1067336,0.008902077151335286
2000-06-08,6660,6960,6530,6530,1171017,-0.039705882352941146
2000-06-09,6600,7040,6530,7020,1277296,0.07503828483920372
2000-06-12,7200,7280,7030,7190,990305,0.024216524216524205
2000-06-13,7060,7099,6870,7060,849970,-0.018080667593880384
2000-06-14,7230,7639,7089,7640,1260474,0.0821529745042493
2000-06-15,7560,7560,6999,7000,1224547,-0.08376963350785338
2000-06-16,6900,6960,6710,6740,1329127,-0.037142857142857144
2000-06-19,6600,6950,6550,6700,1071256,-0.005934718100890191
2000-06-20,6940,7179,6829,7140,1195878,0.06567164179104479
2000-06-21,7300,7380,7069,7080,751795,-0.008403361344537785
2000-06-22,7240,7270,6960,7040,672733,-0.005649717514124242
2000-06-23,6980,7009,6860,7000,584323,-0.005681818181818232
2000-06-26,7100,7360,6990,7210,799690,0.030000000000000027
2000-06-27,7320,7440,7190,7310,910783,0.01386962552011095
2000-06-28,7220,7540,7220,7520,945903,0.028727770177838563
2000-06-29,7600,7739,7380,7490,1222497,-0.003989361702127714
2000-06-30,7439,7540,7290,7380,705080,-0.014686248331108098
2000-07-03,7440,7550,7420,7500,519515,0.016260162601626105
2000-07-04,7600,7620,7350,7350,656229,-0.020000000000000018
2000-07-05,7390,7519,7350,7430,497988,0.010884353741496655
2000-07-06,7240,7350,7179,7300,1206852,-0.01749663526244949
2000-07-07,7340,7460,7230,7360,811625,0.008219178082191858
2000-07-10,7440,7630,7410,7600,850172,0.032608695652173836
2000-07-11,7580,7740,7450,7450,698992,-0.019736842105263164
2000-07-12,7520,7660,7460,7640,802868,0.025503355704697972
2000-07-13,7699,7880,7570,7760,976116,0.015706806282722585
2000-07-14,7780,7840,7540,7550,608514,-0.027061855670103108
2000-07-18,7550,7620,7439,7460,392106,-0.01192052980132452
2000-07-19,7360,7390,7140,7200,801065,-0.034852546916890104
2000-07-20,7060,7110,6840,6900,806380,-0.04166666666666663
2000-07-21,6960,7050,6759,6920,967901,0.0028985507246377384
2000-07-24,6640,6740,6360,6380,980364,-0.0780346820809249
2000-07-25,6310,6400,6120,6280,1134767,-0.01567398119122254
2000-07-26,6400,6579,6360,6550,1094925,0.04299363057324834
2000-07-27,6220,6360,6100,6230,870865,-0.04885496183206106
2000-07-28,5800,5910,5710,5730,1660739,-0.0802568218298555
2000-07-31,5730,5910,5550,5900,932312,0.029668411867364686
2000-08-01,5960,6270,5870,6220,1062466,0.05423728813559325
2000-08-02,6100,6170,5930,6070,743825,-0.024115755627009627
2000-08-03,6180,6180,5970,6030,556342,-0.00658978583196046
2000-08-04,5930,6010,5850,5920,472137,-0.018242122719734688
2000-08-07,5740,5770,5580,5580,575355,-0.057432432432432456
2000-08-08,5660,5750,5570,5580,669550,0.0
2000-08-09,5680,6040,5680,6000,791495,0.07526881720430101
2000-08-10,6000,6160,5860,6160,816612,0.026666666666666616
2000-08-11,6000,6070,5880,5960,676890,-0.03246753246753242
2000-08-14,6060,6160,6000,6020,474664,0.010067114093959662
2000-08-16,6500,6530,6330,6420,1038360,0.06644518272425248
2000-08-17,6480,6560,6340,6440,726926,0.0031152647975076775
2000-08-18,6500,6520,6200,6200,427433,-0.037267080745341574
2000-08-21,6200,6340,6190,6270,419000,0.011290322580645107
2000-08-22,6260,6470,6240,6460,554252,0.030303030303030276
